txn_id,seller_entity,buyer_entity,seller_amount,buyer_amount,seller_currency,buyer_currency,rule_code,account,period,scenario
TXN-001,HCG-UK,HCG-DE,500000,500000,GBP,GBP,IC-001,IC Revenue,2024-12,Actual
TXN-002,HCG-DE,HCG-US,320000,320000,EUR,EUR,IC-002,IC Trade Receivables,2024-12,Actual
TXN-003,HCG-US,HCG-AU,150000,150000,USD,USD,IC-004,IC Management Fees,2024-12,Actual
TXN-004,HCG-UK,HCG-SG,200000,200000,GBP,GBP,IC-001,IC Revenue,2024-12,Actual
TXN-005,HCG-DE,HCG-FR,410000,410000,EUR,EUR,IC-002,IC Trade Receivables,2024-12,Actual
TXN-006,HCG-US,HCG-SG,275000,275000,USD,USD,IC-005,IC Royalties,2024-12,Actual
TXN-007,SHARED,HCG-UK,180000,180000,GBP,GBP,IC-004,IC Management Fees,2024-12,Actual
TXN-008,HCG-UK,HCG-AU,95000,95000,GBP,GBP,IC-003,Unrealised Profit in Inventory,2024-12,Actual
TXN-009,HCG-DE,HCG-NL,630000,630000,EUR,EUR,IC-001,IC Revenue,2024-12,Actual
TXN-010,HCG-US,HCG-UK,440000,440000,USD,USD,INV-001,IC Loan Asset,2024-12,Actual
TXN-011,HCG-UK,HCG-FR,260000,260000,GBP,GBP,IC-002,IC Trade Receivables,2024-12,Actual
TXN-012,HCG-SG,HCG-AU,190000,190000,SGD,SGD,IC-004,IC Management Fees,2024-12,Actual
TXN-013,HCG-DE,HCG-UK,720000,720000,EUR,EUR,IC-001,IC Revenue,2024-12,Actual
TXN-014,HCG-AU,HCG-US,85000,85000,AUD,AUD,IC-005,IC Royalties,2024-12,Actual
TXN-015,SHARED,HCG-DE,340000,340000,GBP,GBP,IC-004,IC Management Fees,2024-12,Actual
TXN-016,HCG-UK,HCG-US,480000,487000,GBP,GBP,IC-001,IC Revenue,2024-12,Actual
TXN-017,HCG-DE,HCG-SG,215000,219000,EUR,EUR,IC-002,IC Trade Receivables,2024-12,Actual
TXN-018,HCG-US,HCG-FR,305000,311000,USD,USD,IC-004,IC Management Fees,2024-12,Actual
TXN-019,HCG-AU,HCG-UK,125000,127500,AUD,AUD,IC-005,IC Royalties,2024-12,Actual
TXN-020,SHARED,HCG-SG,160000,163000,GBP,GBP,IC-001,IC Revenue,2024-12,Actual
TXN-021,HCG-UK,HCG-DE,390000,390000,GBP,EUR,IC-002,IC Trade Receivables,2024-12,Actual
TXN-022,HCG-US,HCG-NL,250000,250000,USD,EUR,IC-001,IC Revenue,2024-12,Actual
TXN-023,HCG-AU,HCG-SG,175000,175000,AUD,SGD,IC-004,IC Management Fees,2024-12,Actual
TXN-024,HCG-DE,HCG-AU,420000,420000,EUR,AUD,INV-001,IC Loan Asset,2024-12,Actual
TXN-025,HCG-UK,HCG-SG,310000,310000,GBP,SGD,IC-005,IC Royalties,2024-12,Actual
TXN-026,HCG-UK,HCG-DE,600000,450000,GBP,GBP,IC-001,IC Revenue,2024-12,Actual
TXN-027,HCG-US,HCG-AU,380000,270000,USD,USD,IC-002,IC Trade Receivables,2024-12,Actual
TXN-028,HCG-DE,HCG-NL,290000,200000,EUR,EUR,IC-004,IC Management Fees,2024-12,Actual
TXN-029,SHARED,HCG-UK,410000,300000,GBP,GBP,AUC-001,CapEx IC Elimination,2024-12,Actual
TXN-030,HCG-SG,HCG-US,220000,155000,SGD,SGD,IC-005,IC Royalties,2024-12,Actual
