line_id,entity_code,account_code,account_description,account_type,account_category,is_intercompany,icp_entity,rule_code,flow,amount,currency,period,scenario
1,HCG-UK,4000,Product Revenue,P&L,Revenue,False,,,F00,28500000,GBP,2024-12,Actual
2,HCG-UK,4010,Service Revenue,P&L,Revenue,False,,,F00,14200000,GBP,2024-12,Actual
3,HCG-UK,4020,Other Revenue,P&L,Revenue,False,,,F00,9800000,GBP,2024-12,Actual
4,HCG-UK,5000,Cost of Goods Sold,P&L,COGS,False,,,F00,-18200000,GBP,2024-12,Actual
5,HCG-UK,5010,Service Delivery Cost,P&L,COGS,False,,,F00,-6500000,GBP,2024-12,Actual
6,HCG-UK,6000,Selling & Marketing,P&L,OpEx,False,,,F00,-7400000,GBP,2024-12,Actual
7,HCG-UK,6010,General & Admin,P&L,OpEx,False,,,F00,-2100000,GBP,2024-12,Actual
8,HCG-UK,6020,R&D Expense,P&L,OpEx,False,,,F00,-3200000,GBP,2024-12,Actual
9,HCG-UK,4100,IC Product Revenue – HCG-DE,P&L,Revenue,True,HCG-DE,IC-001,F00,5000000,GBP,2024-12,Actual
10,HCG-UK,4110,IC Mgmt Services Revenue – HCG-US,P&L,Revenue,True,HCG-US,IC-004,F00,1800000,GBP,2024-12,Actual
11,HCG-UK,4120,IC Royalty Revenue – HCG-SG,P&L,Revenue,True,HCG-SG,IC-005,F00,900000,GBP,2024-12,Actual
12,HCG-UK,5100,IC Service Cost – SHARED,P&L,COGS,True,SHARED,IC-001,F00,-2200000,GBP,2024-12,Actual
13,HCG-UK,1000,Trade Receivables,BS,Asset,False,,,F00,12400000,GBP,2024-12,Actual
14,HCG-UK,1500,Property Plant & Equipment,BS,Asset,False,,,F00,45000000,GBP,2024-12,Actual
15,HCG-UK,1100,Inventory,BS,Asset,False,,,F00,18000000,GBP,2024-12,Actual
16,HCG-UK,1600,IC Receivable – HCG-DE,BS,Asset,True,HCG-DE,IC-002,F00,5000000,GBP,2024-12,Actual
17,HCG-UK,1610,IC Receivable – HCG-US,BS,Asset,True,HCG-US,IC-002,F00,1800000,GBP,2024-12,Actual
18,HCG-UK,1620,IC Receivable – HCG-SG,BS,Asset,True,HCG-SG,IC-002,F00,900000,GBP,2024-12,Actual
19,HCG-UK,2600,IC Payable – SHARED,BS,Liability,True,SHARED,IC-002,F00,-2200000,GBP,2024-12,Actual
20,HCG-UK,2000,Trade Payables,BS,Liability,False,,,F00,-8900000,GBP,2024-12,Actual
21,HCG-UK,2100,Long-term Debt,BS,Liability,False,,,F00,-15000000,GBP,2024-12,Actual
22,HCG-DE,4000,Product Revenue,P&L,Revenue,False,,,F00,22000000,EUR,2024-12,Actual
23,HCG-DE,4010,Service Revenue,P&L,Revenue,False,,,F00,16500000,EUR,2024-12,Actual
24,HCG-DE,4020,Other Revenue,P&L,Revenue,False,,,F00,8700000,EUR,2024-12,Actual
